"labels","text"
2,"Tendré que ir yo al otorrino?......o ustedes, señores criticos...... Que malas son las expectativas de algun producto, cuando antes de comprarlo, buscas referencias y opiniones y estas son muy buenas. Es lo que me ha pasado con estos Sony. Habia leido cosas tan buenas de ellos, queeeee.........en fin. Entiendo que la gente se compre unos auriculares por primera vez y estos les parezcan fantasticos, lo entiendo (de hecho opino que el 90% de los comentarios en amazon se basan en eso y en los gustos personales), pero la verdadera critica de un producto viene cuando uno a podido comparar in situ con otros productos. No entiendo como las reviews en internet sobre este producto son tan buenas (bueno igual si.....¿porque tiran de talonario? 😁). Este auricular es mediocre cuando comparas. El principal lastre son los horrorosos bajos profundos y carentes de pegada que tienen, solo consiguen ensuciar (en toda la extension de la palabra) las ""decentes"" frecuencias medias y agudas. No se como pueden estar tan mal calibrados de fabrica, porque si, se puede ""solucionar"" con ecualizacion, pero me parece un fallo tremendo por parte de Sony. Su sonido es desinflado, sin punch (pegada), no emocionan. Te das cuenta cuando los enchufas a un amplificiador de auriculares con su respectivo cable y le metes volumen. Los bajos colapsan las demas frecuencias enseguida y el apelmazamiento del sonido es para salir corriendo 😁. Tengo unos V-MODA Crossfade 2 Wireless (tambien sin cables), que aun sin llegar a la excelencia sonora, son mucho mejores, se nota que tienen potencia. No me voy adentrar en otros detalles, pues para mi priva el sonido por encima de todo. Solo comentare que la construccion me ha parecido endeble para el precio, (el giro de las copas tiene una pinta de partirseeee....), y que el microfono es muy mediocre. Algo positivo? Si, el sistema de control tactil de ellos me parece que tendria que ser un referente en las demas marcas, los gestos van muy bien. Tambien la cancelacion de ruido, realmente impactante, te absorve las orejas directamente, muy muy bueno. Resumiendo: Creo que el mercado de los auriculares sin cable necesita mas variedad de modelos, porque si estos son los referentes cuando nos movemos en los 300 euroooos.......🙄"
3,"Buena Un tejido un poco trasparente, fresquera y buena para el verano"
1,"Mala experiencia Un engaño, no es de plata, soy alérgica y solo puedo usar plata o oro, he confiado en este provedor de amazon y ahora tengo la oreja inflamada..mucha rabia."
4,"Bastante bien Me gustan mucho, y son de buen material, buena hechura, cómodos (lo que pueden apretándome de más) aunque no sé si originales. Lo malo es que tallan muy pequeño (luego me dijeron que Nike es así). En fin, estoy ancheándolos un poco con el uso, y con calcetín más bien fino, ya van bien. Si no fuese por ser pequeños para el número les pondría 5 estrellas."
5,"Perfecto Justo lo que esperaba, de calidad y precio aceptable."
5,"colgante en flor Precioso"
5,"Rápido y correcto Rápido y correcto"
5,"Gran calidad a un reducido precio Es un reloj digital muy completo, sigue manteniendo sus características que lo han hecho tan célebre sin renunciar a una calidad excelsa. Cumple su función con creces. No se puede pedir más por menos a un reloj de éstas características."
5,"Estoy encantado Las he comprado para utilizarlas para ordenar los cables de casa y alguna otra chapuza y estoy muy contento, cumplen su función. Incluso las he usado para mantener de forma suspendida a un router y unos enchufes detrás de un armario, genial"
5,"Genial Recomendable"
