"labels","text"
2,"希望不是二手 开封打开了一个，另一个很脏，这个型号无法连接蓝牙，查看不了是不是被用过，机子试用了一次，不知道之后好不好用"
3,"紧身款，适合高瘦型 本人173，66kg，s码紧身，只能打底穿了。做工一般，线头多，初洗会掉色，要多泡几次。"
1,"容量中英文标的不一样 不喜欢，中文显示容量是8t，买回来才知道是6t，再也不在amazon买东西了"
4,"腰部会下卷 腰部会下卷，夏天穿很热"
5,"满意 尺寸和国内差不多，172m77公斤，32很合适，这款是宽松型，裤腿比较宽。"
5,"海外的东西物美价廉 是好东西，就是运的时间有点久。但也值了。用起来响应速度快，读取快，手感好。"
5,"很好的一件防寒外套 我已经购买了一件其他品牌的衬衫款式的外套，十分温暖，所以再次购买这款颜色的。 首先，这是一款衬衫花色和款式的外套，不是传统意义上的衬衫（也可以当衬衫穿），尺码自然就是外套尺码。 其次，这件外套里面肯定是还要穿内衣的。这英文中的羊羔绒，就是我们常说的抓绒。 第三，这外套不会起静电，但最好内衣穿纯棉的。适合5-15度气温穿着这件外套，里面只需要穿一件短袖体恤就够了。 孟加拉国制造，质量还可以。"
5,"物美价廉，穿着舒适 物美价廉，穿着舒适，还会再次购买"
5,"🐘印品质优 已经试用了，效果不错"
5,"还行吧 前从不去评价，不知道浪费了多少积分，现在知道积分可以换钱，就要好好评价了，后来我就把这段话复制走了，既能赚积分，还省事，走到哪复制到哪，最重要的是，不用认真的评论了，不用想还差多少字，直接发出就可以了，推荐给大家！！"
5,"感觉不错啊！ 可能我要求低，感觉蛮好的。175，78选的M，也蛮合适的。美国本土的衣服比较适合长的壮的人！"
5,"衣服还行 175 75kg M号刚刚好了衣服有点厚"
5,"很满意 标题写8只装，实际收到是12只的，大家放心 很实惠的价格，确认是正品，可以购买"
5,"打八十五分 不错！小缺点是左脚刚好右脚反而紧，而且我是左撇子，真绝了"
5,"衣服品质 拿到手的时候，新衣服上就粘上了许多毛，非常莫名其妙，不推荐购买"
5,"有型 帽子有型，戴着舒服。"
5,"做工精细，用料好 舒适合身，非常喜欢。"
5,"很棒 235mm，uk4很合适，不怎么磨脚。买的樱桃红，产自越南，有黄色鞋带。400+入手。亚马逊的客服也很棒。"
5,"神器神器 朋友推荐的神器，双胞胎儿子一人一套，早起就练起来，能自己吃上几口，我们刚一岁"
5,"书写好用 一块钱一支，珠心比晨光的好一万倍"
5,"还行 里面穿一件短袖或长袖T恤刚刚好修身，再大一码估计就稍微宽松一点了！就是不知道是不是正品"
5,"搭配运动休闲裤。 收到鞋子尺码可以，就是偏窄了点"
5,"百搭 秋冬深色衣服的百搭款"
5,"好 裤子很合适，尺码标注准确。"
5,"质量不错 就是价格有点贵，烫热菜或者冷却稀饭都很快速，还有一个带盖饭盒方便外出使用，橙色很漂亮。"
5,"值得拥有 不错的跑鞋，很满意。"
2,"合适 这个牌子三角裤我买大码有点小，四角的买大码就合适，材料夏天穿很舒服，173高71公斤"
3,"包边不好 手帕柔软，但包边做工比较粗糙"
1,"假 感觉是假的 我买的勺子和叉子长短都不一样，颜色也不一样拆封了 没法退"
4,"还可以 两根肩带，细的那根肩带的缝线做的太差，还好也没打算用！皮子没什么大味道"
4,"还行 1，还是有些夹头，入耳式还是最舒服的 2，音质比较均衡，每个声部都比较清晰 3，价格还是略高，为了音质不建议购买"
4,"舒适性 鞋底偏硬，其他ok。号码小一码到一码半。"
4,"声音太大 很一般，声音太大了"
5,"还不错 布料不错，裁剪也合适，就是不大修身"
