"labels","text"
2,"Pas hyper chaud Petit tapis chauffant, texture agréable. Par contre, met beaucoup de temps à chauffer. Et en mode 3, le plus élevé, je trouve qu'il n'est pas très chaud.... Je m'attendais à mieux en tout cas..."
1,"Passez votre chemin Au premier coup d'oeil, bon article, conforme à la commande. Au bout d'une semaine d'utilisation, l'intérieur du chausson se déchire. A ne surtout pas acheter."
3,"Moyen Solide . Mais une des poche est trop serré pour pouvoir mettre des chose à l l'intérieur"
4,"conforme a l'image il serai nécessaire de le réaliser un peu pus grand Bon produit estétique cadeau apprécié"
5,"Pieds nus mais avec une bonne paire de chaussures Depuis l'été, je ne les ai pas quittées d'une semelle ! Au delà du prix raisonnable, ces chaussures sont très agréables à porter même sur un sol caillouteux... Vraiment la sensation d'être pieds nus, la marche devient moins fatigante. Si vous êtes ""batteur"", ce sera le top (j'en connais qui joue en chaussettes, pour alléger leurs pieds surtout les doubles pédaleurs) : ces ""pompes"" sont parfaites, elles vous assureront une parfaite adhérence et un confort de frappe tout en vous offrant cette sensation de légèreté. Autre chose, la taille est parfaite, pas de mauvaise surprise."
5,"Super cadeau Très jolie montre homme, très classe. C'est un cadeau que mon mari a beaucoup apprécié. Un petit luxe à petit prix !"
5,"La Qualité Sonore Parfaite Faciles à connecter au téléphone. Ils me permettent de répondre à mes appels en mode kit mains libres et de revenir à l'écoute de ma musique. Prise en main aisée. Très bonne qualité de son, on est isolé du reste du monde."
5,"Parfait Pas très épais mais ma fille a tout de suite adoré !!!"
5,"Belle idéee Super pour les naissances et autres fêtes. Avec de petites sucreries à partager avec les proches."
5,"Simple pour les lecteurs debutants pour ne pas les décourager Garcon debut de cp"
5,"Super câble Sur table de mixage"
5,"tres bien Et très simple d'utilisation pour les collégiens marche très bien pour les collégiens je l'ai moi-même acheté pour mon fils elle marche très bien"
5,"Super rapport qualité prix Jai testé pour mes migraines l'huile menthe poivrée et ça a fonctionné,  contente de mon achat et la trousse de rangement est très pratique jadore"
5,"Bon qualité Cet appareil est très satisfait,il y’a vitesse . Un côté c’est cuir doux et facile a nettoyé , l’autre côté c’est tissu Filet respirant .Il compris un Chargeur Secteur et Chargeur Allume Cigare, pratique un posé dans la voiture ."
5,"Conforme à la description et de bonne qualité Conforme à la description et de bonne qualité"
5,"Très puissant. Poids adapté, prise en main facile, tient bien la charge. Les vibrations sont très puissantes et efficaces. Les 25 modes sont amusants, et il est simple à nettoyer. Bref, rien à redire :)"
5,"La Perle Rare à avoir toujours avec Soi... Ressentez son efficacité dès la première utilisation, une légèreté buccale vous envahira pour le bonheur de ne plus jamais perdre cette agréable sensation de bouche saine et dégagée de ses impuretés. Toutes ces années à chercher quelque chose pour assainir ma langue, la rendre rose, en brossant celle-ci, avec divers produits etc... Voilà Le produit qu'il me fallait, merci à ses Créateurs Et la boutique sur Amazon vendant ce produit..."
5,"Pas de soucis, chaussures conforme à la description et Warerproof Pas de soucis, ce sont des vraies. Ce sont des chaussures en cuir, donc raide au début. Le logo est à la bonne taille. Rien de douteux concernant la chaussure. Livré dans une boîte timberland. Possesseur de Tim auparavant, je suis content de m'en procurer de nouveau et surtout à ce prix. Je chausse du 42 Nike ce qui correspond au 41 Timberland (comparaison guide des pointures des 2 marques) donc je conseille également de prendre une pointure en dessous."
5,"Ecouteur Bluetooth sans file, Willful <div id=""video-block-RMY88ODQAX96W"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-eu.ssl-images-amazon.com/images/I/C1eGUu2XbaS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-eu.ssl-images-amazon.com/images/I/91D79GluimS.png"" class=""video-slate-img-url"">&nbsp;J'ai acheté ces écouteurs car le port de mon téléphone ne fonctionne plus m, et bien ces écouteurs font bien l'affaire. Ces écouteurs tiennent bien l charge le song est claire en plus je n'ai pas de soucie pour les appels elles ont un micro intégré. Je suis hyper satisfaite de mon achat et vous le recommande vivement. Compte à la livraison je l'ai reçu en 24h."
5,"Indispensable Excellent produit ! Pratique et simple à utiliser ... Je ne m'en passe plus ^^"
2,"cadeau gadget L'idée est sympathique, mais la qualité des chaussons et même de la housse n'est pas qualitative. Mais l'effet cadeau était là !"
1,"Pas terrible Pointure exacte Matière - pas pratique à cause de la poussière. Elles se salissent facilement et se nettoient très difficilement. Prix - un peu cher pour des finitions pareilles - decu car normalement produits bien travaillés. Déjà abîmé à cause des finitions - apres juste deux mois d’utilisation"
3,"des chaussures comme des chaussons ! J'ai des problèmes à un pied(oignon), il me faut donc des chaussures très souples. Avec celles-ci (je les avais essayées en magasin avant) je n'ai aucune douleur.C'est un pur plaisir de souplesse.Je les aime pour çà. La semelle cependant est un peu légère et pas sophistiquée. Ce qui en fait une chaussure estivale un peu légère."
4,"Bonnes chaussettes Je les porte depuis un an lorsqu'il faut chaud, et elles ont bien vieillies. Pas de bouloches, pas de trous, pas de décoloration. 4 etoiles a cause de la composition (65% Coton) qui peut les rendre un peu inconfortables."
4,"Pratique pour les sorties et réveils de nuit Boîtes doseuses très pratiques pour les sorties car évite de transporter le pot de lait entier ainsi que pour les réveils dans la nuit car permet d'aller vite quand on est fatigués et que bébé crie pour son biberon. Pour le moment je n'ai mis maximum que 6 doses car bébé n'a pas encore atteint les 9 indiquées en dose max; mais la contenance permet bien de mettre + que 6 doses. Le bec verseur est très utile car évite de renverser à côté. Les boites sont très faciles à nettoyer et à sécher, aussi jusqu'à présent elles ne se sont jamais dévissées pendant le transport. Le seul inconvénient est qu'il faut bien maintenir les boîtes droites pour bien les emboîter et les visser les unes aux autres. A part selon bon rapport qualité prix donc satisfaite de l'achat."
4,"Confortable Bon achat,il faut cependant le chauffer pendant trois à quatre minutes pour obtenir la bonne température.je l’ai sorti du micro onde toute les minutes pour mélanger les graines et éviter qu’il ne brûle."
4,"Petit mais jolie Très très petit très discret. Mais jolie."
5,"Tres bon produit Très bon produit - envoi rapide - je recommande"
5,"Pour mon boulot génial pas lourde et très pratique Super on entend super bien pas lourde et très bien agencé pour mon oreille"
5,"Je recommande Cadeau qui a fait son effet! Très bon son, confortable pour les oreilles. Rien a redire Je le recommande vivement!"
5,"Parfait Très bon produit. Il est parfait pour le crâne nuque ou encore le dos. Je recommande vraiment"
5,"Impeccable Très beau produit, acheté en version ""bois"" l'appareil est en plastique avec un aspect bois très esthétique. Ce diffuseur est très efficace et le jeu de lumière très agréable visuellement"
5,"Parfait il est parfait très beau et élégant j ai pu offrir une parure bracelet et collier a noël. maman a adore il est magnifique a porter. je le conseille sans hésiter."
5,"Agréablement surpris J'ai une nevralgie -brachiale. Avec le stress et l'anxiété après une journée de travail j'ai besoin de me soulager la nuque et les trapèzes. J'ai acheté ce tapis en lisant les commentaires. Quand je l'ai tester la première fois  pendant 30 min j'ai pas ressenti la sensation de bien être.  Mais dès la deuxième fois j'ai été submergé par une intense sensation de bien être jusqu'à avoir un large sourire. Pour ma part c'est surtout le coussin que j'apprécie le plus. Toutefois c'est le tapis n'atteint pas les trapèzes. Il.y a un.vide entre le coussin et le tapis. Du coup je place un petit coussin en dessous.  De plus, le tapis n'est pas assez large. Mes bras n'en profitent pas. En tout cas c'est une bonne.n découverte d'autant plus que j'étais très septique."
5,"très contente Ces disques d'étanchéité permettent de transporter les biberons vides et stériles ou contenant le lait de bébé avec une bague et non avec la tétine. De plus ces disques ont été conçus pour s'adapter à tous les types de biberons avent (ancien et nouveau modèle) alors que les anciens ne vont pas sur les modèles natural. Ainsi on peut transporter le biberon tranquillement dans le sac à langer jusqu'au moment de le rechauffer pour le donner a bébé. Je suis très satisfaite et le recommande à toutes les mamans qui aiment se promener avec leur bébé."
5,"Parfait!!! Super rapport qualité prix, je suis ultra satisfaite du produit et de la rapidité de livraison..."
5,"Papier d'Arménie Paris ' La Rose Cet astucieux petit carnet (8 x 5.5 cm) porte les senteurs de l'encens, un parfum de rose ajouté à celui du benjoin. Il se présente sous une douzaine de feuillets, chacun prédécoupé en trois lamelles. Il suffit d'en détacher une, la plier en accordéon, mettre délicatement le feu et souffler rapidement dessus afin d'éteindre la flamme. Le papier doit se consumer lentement dans une soucoupe. Entre le fond du support et le papier, je dispose des petits galets de verre. Ainsi, le papier se consume mieux, intégralement. Il  vient à bout d'odeurs difficiles à éliminer. Celles d'un appareil à raclette par exemple'  Les feuilles brunes dégagent une bonne odeur de rose. Autant en profiter en les entreposant simplement dans l'armoire à linge. En brûlant, elle s'estompe tout répandant le délicat effluve fleuri. Les odeurs indésirables volatilisées, j'ouvre les fenêtres en grand. Rien ne vaut le grand air extérieur pour l'aération d'un intérieur. La senteur des résidus demeure lorsque l'on est à sa proximité immédiate.  N'hésitez pas à faire un tour dans les magasins bio, parapharmacie à l'occasion. On le trouve facilement pour moins de trois euros. C'est un moyen ancien, très simple, ingénieux, efficace, économique, pour parfumer et/ou assainir les pièces. Le seul inconvénient : assez fort, il n'est pas au goût de tous.  Si vous n' aimez pas le parfum de rose :  Papier d’Arménie triple, l’ original. <a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/PAPIER-ARMENIE-TRIPLE-carnet-de-12/dp/B00ECV0S1Y/ref=cm_cr_getr_d_rvw_txt?ie=UTF8"">PAPIER ARMENIE TRIPLE carnet de 12</a>  Papier d’ Arménie, plus doux et moins entêtant  que l’ original. <a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/PAPIER-D-ARMENIE-carnet-de-12-feuilles/dp/B0017DPRVQ/ref=cm_cr_getr_d_rvw_txt?ie=UTF8"">PAPIER D'ARMENIE carnet de 12 feuilles</a>"
5,"Conforme Tenue chic,serre bien la taille"
5,"Tres bonne qualité Tres bonne qualité Attention quand même ça taille légèrement petit quand meme pour le haut"
5,"écouteurs bluetooth Voyant tout le monde avec des écouteurs sans fil j'ai voulu essayé. j'ai choisi la couleur noir, ils sont jolie et j'aime beaucoup la texture. La qualité du son est correcte pour le prix, j'ai eu un peu de mal avec le tactile au début mais maintenant c'est bon."
5,"Basique mais efficace Facile à installer juste une cartouche noire et une couleur"
5,"Produit au top Je suis très satisfait de ce produit. j'en suis ravie par sa qualité et son moyen de pouvoir travailler au niveau programmation pour mon fils. Je recommande vivement ce produit en tant que solide et autant pour son rapport qualité/prix."
2,"Etre bien dedans se n'est pas le qua Elle me fon trop mal au pied"
1,"Arnaque Je n'ai reçu qu'une seule des 5 ramettes de papier, arnaque énorme. La photo ci contre représente un carton de 5x500 feuilles, il n'est pas de mon ressort de me dire que la photo du produit présentée n'est pas le produit. Entreprise pathétique et incompétente."
3,"Parfait pour commencer. Tres bon coffret pour commencer avec notre baby chou et le décor est sympathique!! Pas la peine de prendre des coffrets avec plus de biberons pour commencer."
4,"bonne qualité ! pour des raison proffessionellles .."
4,"Bon produit Bon produit par rapport à la qualité et prix."
4,"Livraison rapide, chaussures agréables à porter......et petit prix. Chaussures confortables à petit prix. ..."
4,"Pas mal Un peu grande mais jolie"
5,"HYDRATANTE APAISANTE ET CORRIGE LES IMPERFECTIONS Idéale quand on a des imperfections dues à une peau sèche. En une application le soir, celles-ci ont disparu !! Attention, cette huile tâche les vêtements et la literie de façon irréversible et c'est le seul point négatif que j'ai constaté... Je recommande cet achat qui pour ma part me convient parfaitement."
5,"Article conforme description Ras"
5,"Ravie Je l'ai commandé la tétine est superbe je la recommande à tous !! Et je voudrai savoir si j'en recommande une deuxième es que j'aurai une couleur differente que celle que j'ai car j'ai peur davoir encore une orange j aimerai une  tetine couleur violet merci"
5,"Très satisfaits Très satisfaite de mon produit nous le  faisons revenir régulièrement. Jusqu'à présent nous avons toujours été satisfaits de nos commandes."
5,"Très bon casque. Magnifique casque sans fil. Première fois que j utilise, je ne changerait plus pour un casque à fil."
5,"Le style au top J’adore super légères, agréables pour marcher, on ne dirait pas des chaussures de sécurité, trop bien avec pantacourts"
5,"bon parfum Ces parfums sentent bon odeur  Ils ont une très bonne tenue . De plus les flacons sont réellement superbes  tres bon coffre facile a porte partout"
5,"TOP BON RAPPORT QUALITE PRIX"
5,"chaud et comfortable Paré pour l'hiver avec ces chaussons fourrés. Merci et au printemps j'espère ."
5,"BON PRODUIT Très bien et économique. Adopté pour plusieurs années............"
5,"Bon son. Parfait pour écouter la hifi , je ne suis pas déçu du produit."
5,"génial le meilleur des goupillons sans contestation possible! pratique avec le petit goupillon pour la tétine; hygiénique car tient debout sur le rebord de l'évier, efficace pour nettoyer et solide."
5,"Super chaussures Enfin des chaussures de sécurité vraiment très confortable on croirait des baskets , très légère, vraiment pas déçu surtout pendant mes 7h de travail je marche énormément, je les conseille vivement."
5,"Grand confort, chaleur et étanchéité avérées Teinte conforme et livrées avec une paire de lacets supplémentaire, de couleur rouge. Très appréciés, le contraste des couleurs ainsi obtenu permettant de mieux se repérer dans le laçage.  Chaussant d'ordinaire du 40, mais sachant qu'elles sont fourrées et que je souhaitais mettre des chaussettes de randonnée, j'ai opté pour une taille 41, et bien m'en a prise.  Ceci dit, aussitôt reçues, aussitôt ""baptisées"" au cours d'une promenade d'environ une heure et demie avec ma chienne, sous une pluie battante. L'efficacité des semelles anti dérapantes ayant en outre fait ses preuves, non pas sur la neige, mais sur des chemins gorgés d'eau, particulièrement boueux. On a la sensation de porter des chaussons, tant elles sont confortables, tout en ayant les pieds bien maintenus, au chaud et au sec.  Au retour de la promenade, j'ai pu constater que l'intérieur ne présentait aucune humidité, l'extérieur séchant très vite.  En conclusion, conquise par ces chaussures, même si reste à voir ce que cela donnera côté longévité.  À votre disposition pour toute question, passez par la rubrique « Remarque sur ce commentaire », j'y répondrai avec plaisir."
5,"100 sachets à fermeture zip 60x80 mm Sachets de qualités. solide, hermétique, pratique. Je ne suis pas déçu de mon achat d'autant que le prix est vraiment raisonnable. Je vous recommande ces petits sachets zip."
2,"Veste Déçu on dirais plutôt une veste sue un manteau"
1,"En panne aprés 30 minutes ! A peine deballé, à peine utilisé et déjà à l'arrêt. Le peu que j'ai pu tester : machine trés lente, capteur présence papier pas reactif et au vu de la coupe pas nette du papier, avant la panne, je ne pense pas que dans le temps cette machine puisse faire le job."
3,"Produit bose trés décevant Je l'utilise pour actité cycliste; tondre le gazon etc....les embouts blessent les oreilles au bout d'un certain temps.on toujours à l'impression qu'on va les perdre Le son est correct mais pas exceptionnel. Point Positif ils n'isolent pas complétement de l'extérieurce qui est un plus quand on fait du vélo, par contre pour tondre le gazon obligé de monter le son assez fort .Avant je possédais des mpow bluethoo à 20 euros.Autant dire que je suis trés déçu pour 166 €je m'attendait à autre chose.Réputation de Bose surfaite sur ce produit.Mon petit fils à acheté des mpow meme systéme que les bose avec station de recharge à 49€.Honnétement je n'ai vu de différence qu'avec les bose.Pour un prix 3*moins cher."
4,"Bon produit Le produit correspond à ce que j'attendais, un bon rapport qualité prix. Les tailles correspondent ainsi que les coloris. Après 3 lavages, les chaussettes boulochent un petit peu mais à ce prix, je ne trouve pas grand chose à redire."
